"from","to"
"Rowe_MD_CA USA_University","Anderson_EJ_CA USA_University"
"Rowe_MD_CA USA_University","Vanderploeg_HA_CA USA_University"
"Anderson_EJ_CA USA_University","Vanderploeg_HA_CA USA_University"
"Benoit-Bird_KJ_CA USA_University","Moline_MA_CA USA_University"
"Gully_JR_CA USA_Research","Mengel_MJ_CA USA_Research"
"Mcwilliams_JC_CA USA_University","Farrara_JD_CA USA_University"
"Noble_MA_CA USA_Other","Rosenberger_KJ_CA USA_Other"
"Oliver_MJ_CA USA_University","Kohut_JT_CA USA_University"
"Furnas_MJ_CA USA_University","Carpenter_EJ_CA USA_University"
"Howard_MJ_CA USA_University","Weng_KC_CA USA_University"
"Howard_MJ_CA USA_University","Bograd_SJ_CA USA_University"
"Weng_KC_CA USA_University","Bograd_SJ_CA USA_University"
"Henderson_MJ_CA USA_University","Field_JC_CA USA_University"
"Biller_SJ_CA USA_University","Berta-Thompson_JW_CA USA_University"
"Biller_SJ_CA USA_University","Meisel_JD_CA USA_University"
"Berta-Thompson_JW_CA USA_University","Meisel_JD_CA USA_University"
"Ramos_AR_CA USA_University","Wall_JD_CA USA_University"
"Stegen_JC_CA USA_University","Li_JJ_CA USA_University"
"Stegen_JC_CA USA_University","Ni_JJ_CA USA_University"
"Stegen_JC_CA USA_University","Van Nostrand_JD_CA USA_University"
"Li_JJ_CA USA_University","Ni_JJ_CA USA_University"
"Li_JJ_CA USA_University","Van Nostrand_JD_CA USA_University"
"Ni_JJ_CA USA_University","Van Nostrand_JD_CA USA_University"
"Mcwilliams_JC_CA USA_University","Molemaker_MJ_CA USA_University"
"Molemaker_MJ_CA USA_University","Mcwilliams_JC_CA USA_University"
"Marquis_JW_CA USA_University","Campbell_JR_CA USA_University"
"Miller_DJ_CA USA_University","Zondlo_MA_CA USA_University"
"Sieber_JR_CA USA_University","Mcinerney_MJ_CA USA_University"
"Doona_CJ_CA USA_University","Malkin_AJ_CA USA_University"
"Kozubal_MA_CA USA_University","Kan_JJ_CA USA_University"
"Rua_MA_CA USA_University","Munters_AR_CA USA_University"
"Rua_MA_CA USA_University","Hoeksema_JD_CA USA_University"
"Munters_AR_CA USA_University","Hoeksema_JD_CA USA_University"
"Gebben_SJ_CA USA_University","Tech_JJ_CA USA_University"
"Keenan_MJ_CA USA_University","Martin_RJ_CA USA_University"
"Nolan_EJ_CA USA_University","Goepfert_TJ_CA USA_University"
"Therien_JB_CA USA_University","Peters_JW_CA USA_University"
"Lever_MA_CA USA_University","Edwards_KJ_CA USA_University"
"Young_EJ_CA USA_University","Sumpter_BG_CA USA_University"
"Vaccaro_BJ_CA USA_University","Wall_JD_CA USA_University"
"Liles_MJ_CA USA_University","Gaos_AR_CA USA_University"
"Liles_MJ_CA USA_University","Peterson_MJ_CA USA_University"
"Gaos_AR_CA USA_University","Peterson_MJ_CA USA_University"
